Name,Address,Borough,Coordinate
Grand Post Office,"4508 30th Ave Ste a, Astoria, NY 11103",Queens,"(40.7616727, -73.910837)"
Steinway Post Office,"4304 Broadway, Astoria, NY 11103",Queens,"(40.7575125, -73.9166844)"
Bay Terrace Post Office,"21271 26th Ave, Bayside, NY 11360",Queens,"(40.7787477, -73.7776628)"
Bayside Post Office,"21235 42nd Ave Ste 2, Bayside, NY 11361",Queens,"(40.7628289, -73.77179869999999)"
Bayside Annex Post Office,"4129 216th St, Bayside, NY 11361",Queens,"(40.7633222, -73.7661262)"
Cambria Heights Post Office,"22901 Linden Blvd, Cambria Heights, NY 11411",Queens,"(40.6928349, -73.7318801)"
College Point Post Office,"12007 15th Ave, College Point, NY 11356",Queens,"(40.7843094, -73.84728199999999)"
Corona-a Post Office,"10328 Roosevelt Ave, Corona, NY 11368",Queens,"(40.74960840000001, -73.86177719999999)"
East Elmhurst Post Office,"9107 25th Ave, East Elmhurst, NY 11369",Queens,"(40.7642011, -73.8781405)"
Trainsmeadow Post Office,"7577 31st Ave, East Elmhurst, NY 11370",Queens,"(40.7602048, -73.8912534)"
Elmhurst Post Office,"5901 Junction Blvd, Elmhurst, NY 11373",Queens,"(40.73526409999999, -73.8646584)"
Far Rockaway Post Office,"1836 Mott Ave, Far Rockaway, NY 11691",Queens,"(40.603466, -73.75058969999999)"
Flushing Post Office,"4165 Main St Ste 1, Flushing, NY 11355",Queens,"(40.7564345, -73.8283921)"
Kew Gardens Hills Post Office,"7523 Main St, Flushing, NY 11367",Queens,"(40.7232545, -73.8196255)"
Linden Hill Post Office,"2950 Union St Ste a, Flushing, NY 11354",Queens,"(40.7708967, -73.8268813)"
Station a Post Office,"4003 164th St, Flushing, NY 11358",Queens,"(40.7613428, -73.80169910000001)"
Forest Hills Post Office,"10628 Queens Blvd, Forest Hills, NY 11375",Queens,"(40.7217316, -73.8469666)"
Parkside Post Office,"10119 Metropolitan Ave, Forest Hills, NY 11375",Queens,"(40.71069, -73.85115979999999)"
Fresh Meadows Post Office,"19220 Horace Harding Expy, Fresh Meadows, NY 11365",Queens,"(40.7413855, -73.78312129999999)"
Fresh Meadows 2 Post Office,"19304 Horace Harding Expy Ste a, Fresh Meadows, NY 11365",Queens,"(40.741339, -73.7829127)"
Pomonok Post Office,"15805 71st Ave, Fresh Meadows, NY 11365",Queens,"(40.7304913, -73.8102956)"
Utopia Post Office,"18204 Union Turnpike, Fresh Meadows, NY 11366",Queens,"(40.7274294, -73.7859012)"
Glen Oaks Post Office,"25629 Union Turnpike, Glen Oaks, NY 11004",Queens,"(40.7459283, -73.7147778)"
Hollis Post Office,"19740 Jamaica Ave, Hollis, NY 11423",Queens,"(40.7132172, -73.7616216)"
Holliswood Post Office,"19733 Hillside Ave, Hollis, NY 11423",Queens,"(40.7190156, -73.7647702)"
Howard Beach Post Office,"16050 Crossbay Blvd, Howard Beach, NY 11414",Queens,"(40.655967, -73.83947119999999)"
Station B Post Office,"10212 159th Ave, Howard Beach, NY 11414",Queens,"(40.66027709999999, -73.8310068)"
Jackson Heights Post Office,"7802 37th Ave, Jackson Heights, NY 11372",Queens,"(40.7491759, -73.8874331)"
Junction Boulevard Post Office,"3323 Junction Blvd Ste 1, Jackson Heights, NY 11372",Queens,"(40.7561538, -73.8730444)"
Archer Ave Post Office,"9703 Sutphin Blvd, Jamaica, NY 11435",Queens,"(40.6972596, -73.805262)"
Borough Hall Post Office,"12055 Queens Blvd Ste 8, Jamaica, NY 11424",Queens,"(40.7139263, -73.8281241)"
Briarwood Post Office,"13869 Queens Blvd, Jamaica, NY 11435",Queens,"(40.7073054, -73.8169839)"
Jamaica Post Office,"8840 164th St, Jamaica, NY 11432",Queens,"(40.70771480000001, -73.7977009)"
John F Kennedy Airport Post Office,"250 N Boundary Rd Ste 1, Jamaica, NY 11430",Queens,"(40.6534223, -73.7676852)"
Rochdale Carrier Annex Post Office,"12045 168th St, Jamaica, NY 11434",Queens,"(40.6814469, -73.7760907)"
Rochdale Village Post Office,"165100 Baisley Blvd, Jamaica, NY 11434",Queens,"(40.67838320000001, -73.7768556)"
Kew Gardens Post Office,"8330 Austin St, Kew Gardens, NY 11415",Queens,"(40.7086908, -73.8292596)"
Horace Harding Post Office,"5601 Marathon Pkwy, Little Neck, NY 11362",Queens,"(40.7602558, -73.7313106)"
Little Neck Post Office,"25010 Northern Blvd, Little Neck, NY 11362",Queens,"(40.7683888, -73.73707480000002)"
Long Island City Post Office,"4602 21st St, Long Island City, NY 11101",Queens,"(40.7457097, -73.9484842)"
Plaza Post Office,"4254 23rd St, Long Island City, NY 11101",Queens,"(40.7501162, -73.94355720000001)"
Woolsey Post Office,"2268 31st St, Long Island City, NY 11105",Queens,"(40.7749459, -73.9128341)"
Maspeth Post Office,"5502 69th St, Maspeth, NY 11378",Queens,"(40.7275933, -73.8957784)"
Middle Village Post Office,"7135 Metropolitan Ave, Middle Village, NY 11379",Queens,"(40.7127489, -73.8833686)"
Oakland Gardens Post Office,"6143 Springfield Blvd, Oakland Gardens, NY 11364",Queens,"(40.7480604, -73.755769)"
Ozone Park Post Office,"9111 Liberty Ave, Ozone Park, NY 11417",Queens,"(40.68034309999999, -73.84728199999999)"
Queens Village Post Office,"20920 Jamaica Ave, Queens Village, NY 11428",Queens,"(40.7145026, -73.7504518)"
Rego Park Post Office,"9224 Queens Blvd, Rego Park, NY 11374",Queens,"(40.7322217, -73.8682319)"
Richmond Hill Post Office,"12201 Jamaica Ave, Richmond Hill, NY 11418",Queens,"(40.7007918, -73.8278681)"
Rockaway Beach Post Office,"9014 Rockaway Beach Blvd, Rockaway Beach, NY 11693",Queens,"(40.5870446, -73.8144744)"
Rockaway Park Post Office,"11325 Beach Channel Dr, Rockaway Park, NY 11694",Queens,"(40.5820076, -73.8364343)"
Rosedale Post Office,"14506 243rd St, Rosedale, NY 11422",Queens,"(40.6596155, -73.7401089)"
Saint Albans Post Office,"19504 Linden Blvd, Saint Albans, NY 11412",Queens,"(40.6930961, -73.756391)"
